year,state,month,date,number
2002,Amapa,Junho,01/01/2002,0
2003,Amapa,Junho,01/01/2003,0
2004,Amapa,Junho,01/01/2004,5
2005,Amapa,Junho,01/01/2005,2
2006,Amapa,Junho,01/01/2006,0
2007,Amapa,Junho,01/01/2007,0
2008,Amapa,Junho,01/01/2008,0
2009,Amapa,Junho,01/01/2009,1
2010,Amapa,Junho,01/01/2010,0
2011,Amapa,Junho,01/01/2011,0
2012,Amapa,Junho,01/01/2012,7
2013,Amapa,Junho,01/01/2013,1
2014,Amapa,Junho,01/01/2014,0
2015,Amapa,Junho,01/01/2015,3
2016,Amapa,Junho,01/01/2016,2
2017,Amapa,Junho,01/01/2017,2
1998,Amapa,Julho,01/01/1998,0
1999,Amapa,Julho,01/01/1999,0
2000,Amapa,Julho,01/01/2000,0
2001,Amapa,Julho,01/01/2001,1
2002,Amapa,Julho,01/01/2002,1
2003,Amapa,Julho,01/01/2003,0
2004,Amapa,Julho,01/01/2004,2
2005,Amapa,Julho,01/01/2005,0
2006,Amapa,Julho,01/01/2006,0
2007,Amapa,Julho,01/01/2007,0
2008,Amapa,Julho,01/01/2008,0
2009,Amapa,Julho,01/01/2009,4
2010,Amapa,Julho,01/01/2010,2
2011,Amapa,Julho,01/01/2011,5
2012,Amapa,Julho,01/01/2012,3
2013,Amapa,Julho,01/01/2013,1
2014,Amapa,Julho,01/01/2014,4
2015,Amapa,Julho,01/01/2015,5
2016,Amapa,Julho,01/01/2016,1
2017,Amapa,Julho,01/01/2017,3
1998,Amapa,Agosto,01/01/1998,1
1999,Amapa,Agosto,01/01/1999,0
2000,Amapa,Agosto,01/01/2000,3
2001,Amapa,Agosto,01/01/2001,12
2002,Amapa,Agosto,01/01/2002,18
2003,Amapa,Agosto,01/01/2003,14
2004,Amapa,Agosto,01/01/2004,9
2005,Amapa,Agosto,01/01/2005,4
2006,Amapa,Agosto,01/01/2006,11
2007,Amapa,Agosto,01/01/2007,5
2008,Amapa,Agosto,01/01/2008,4
2009,Amapa,Agosto,01/01/2009,20
2010,Amapa,Agosto,01/01/2010,1
2011,Amapa,Agosto,01/01/2011,16
2012,Amapa,Agosto,01/01/2012,19
2013,Amapa,Agosto,01/01/2013,9
2014,Amapa,Agosto,01/01/2014,18
2015,Amapa,Agosto,01/01/2015,40
